[20:20:05] 登录成功: 13800138000, 时间: .022785790s
[20:20:20] 登录成功: 13900139000, 时间: .025484119s
[20:20:20] 查询成功: 13900139000, 时间: .028325678s
[20:20:21] 登录成功: 13700137000, 时间: .031445856s
[20:20:21] 查询成功: 13700137000, 时间: .030743925s
[20:20:21] 登录成功: 13800138000, 时间: .028502350s
[20:20:21] 查询成功: 13800138000, 时间: .025934185s
[20:20:21] 登录成功: 13900139000, 时间: .025697372s
[20:20:21] 查询成功: 13900139000, 时间: .028553077s
[20:20:21] 登录成功: 13700137000, 时间: .025875735s
[20:20:21] 查询成功: 13700137000, 时间: .034635047s
[20:20:22] 登录成功: 13800138000, 时间: .036060190s
[20:20:22] 查询成功: 13800138000, 时间: .032058967s
[20:20:22] 登录成功: 13900139000, 时间: .027482305s
[20:20:22] 查询成功: 13900139000, 时间: .028612224s
[20:20:22] 登录成功: 13700137000, 时间: .031765994s
[20:20:22] 查询成功: 13700137000, 时间: .027708111s
[20:20:22] 登录成功: 13800138000, 时间: .031137498s
[20:20:24] 查询成功: 13800138000, 时间: .025380248s
[20:20:25] 登录成功: 13900139000, 时间: .028908089s
[20:20:25] 查询成功: 13900139000, 时间: .036163766s
[20:20:25] 登录成功: 13700137000, 时间: .031767279s
[20:20:25] 查询成功: 13700137000, 时间: .023942736s
[20:20:25] 登录成功: 13800138000, 时间: .029578234s
[20:20:25] 查询成功: 13800138000, 时间: .025717299s
[20:20:25] 登录成功: 13900139000, 时间: .028011027s
[20:20:25] 查询成功: 13900139000, 时间: .036757794s
[20:20:26] 登录成功: 13700137000, 时间: .027349987s
[20:20:26] 查询成功: 13700137000, 时间: .026568799s
[20:20:26] 登录成功: 13800138000, 时间: .025507117s
[20:20:26] 查询成功: 13800138000, 时间: .029840698s
[20:20:26] 登录成功: 13900139000, 时间: .029380764s
[20:20:26] 查询成功: 13900139000, 时间: .035486479s
[20:20:26] 登录成功: 13700137000, 时间: .026237972s
[20:20:26] 查询成功: 13700137000, 时间: .037082660s
[20:20:26] 登录成功: 13800138000, 时间: .030044465s
[20:20:26] 查询成功: 13800138000, 时间: .027408740s
[20:20:27] 登录成功: 13900139000, 时间: .032068777s
[20:20:27] 查询成功: 13900139000, 时间: .035205226s
[20:20:27] 登录成功: 13700137000, 时间: .035924238s
[20:20:27] 查询成功: 13700137000, 时间: .033472259s
[20:20:27] 登录成功: 13800138000, 时间: .029503912s
[20:20:27] 查询成功: 13800138000, 时间: .028449679s
[20:20:27] 登录成功: 13900139000, 时间: .030489929s
[20:20:27] 查询成功: 13900139000, 时间: .036560903s
[20:20:27] 登录成功: 13700137000, 时间: .029325032s
[20:20:27] 查询成功: 13700137000, 时间: .031065887s
[20:20:27] 登录成功: 13800138000, 时间: .033309694s
[20:20:27] 查询成功: 13800138000, 时间: .032428643s
[20:20:28] 登录成功: 13900139000, 时间: .027321292s
[20:20:28] 查询成功: 13900139000, 时间: .033829991s
[20:20:28] 登录成功: 13700137000, 时间: .025458818s
[20:20:28] 查询成功: 13700137000, 时间: .039076843s
[20:20:28] 登录成功: 13800138000, 时间: .039916380s
[20:20:28] 查询成功: 13800138000, 时间: .031595348s
[20:20:28] 登录成功: 13900139000, 时间: .025376456s
[20:20:28] 查询成功: 13900139000, 时间: .037776096s
[20:20:28] 登录成功: 13700137000, 时间: .029691034s
[20:20:28] 查询成功: 13700137000, 时间: .026876058s
[20:20:28] 登录成功: 13800138000, 时间: .034581074s
[20:20:28] 查询成功: 13800138000, 时间: .035024661s
[20:20:29] 登录成功: 13900139000, 时间: .024930800s
[20:20:29] 查询成功: 13900139000, 时间: .032354626s
[20:20:29] 登录成功: 13700137000, 时间: .027752906s
[20:20:29] 查询成功: 13700137000, 时间: .032051648s
[20:20:29] 登录成功: 13800138000, 时间: .032529550s
[20:20:29] 查询成功: 13800138000, 时间: .030561109s
[20:20:29] 登录成功: 13900139000, 时间: .025955351s
[20:20:29] 查询成功: 13900139000, 时间: .025582508s
[20:20:29] 登录成功: 13700137000, 时间: .024060460s
[20:20:29] 查询成功: 13700137000, 时间: .024206048s
[20:20:29] 登录成功: 13800138000, 时间: .021848926s
[20:20:29] 查询成功: 13800138000, 时间: .022585471s
[20:20:30] 登录成功: 13900139000, 时间: .026470437s
[20:20:30] 查询成功: 13900139000, 时间: .032750569s
[20:20:30] 登录成功: 13700137000, 时间: .025384948s
[20:20:30] 查询成功: 13700137000, 时间: .032834274s
[20:20:30] 登录成功: 13800138000, 时间: .027182850s
[20:20:30] 查询成功: 13800138000, 时间: .028113512s
[20:20:30] 登录成功: 13900139000, 时间: .025153777s
[20:20:30] 查询成功: 13900139000, 时间: .028998258s
[20:20:30] 登录成功: 13700137000, 时间: .031352349s
[20:20:31] 查询成功: 13700137000, 时间: .028225344s
[20:20:31] 登录成功: 13800138000, 时间: .028360442s
[20:20:31] 查询成功: 13800138000, 时间: .023780185s
[20:20:31] 登录成功: 13900139000, 时间: .026756350s
[20:20:31] 查询成功: 13900139000, 时间: .025371608s
[20:20:31] 登录成功: 13700137000, 时间: .023448121s
[20:20:31] 查询成功: 13700137000, 时间: .031946920s
[20:20:31] 登录成功: 13800138000, 时间: .026149422s
[20:20:31] 查询成功: 13800138000, 时间: .029059319s
[20:20:31] 登录成功: 13900139000, 时间: .031227214s
[20:20:31] 查询成功: 13900139000, 时间: .031997428s
[20:20:31] 登录成功: 13700137000, 时间: .032385708s
[20:20:31] 查询成功: 13700137000, 时间: .029257849s
[20:20:32] 登录成功: 13800138000, 时间: .030051633s
[20:20:32] 查询成功: 13800138000, 时间: .034380166s
[20:20:32] 登录成功: 13900139000, 时间: .024576551s
[20:20:32] 查询成功: 13900139000, 时间: .033517990s
[20:20:32] 登录成功: 13700137000, 时间: .031931371s
[20:20:32] 查询成功: 13700137000, 时间: .029983812s
[20:20:32] 登录成功: 13800138000, 时间: .028798217s
[20:20:32] 查询成功: 13800138000, 时间: .025774633s
[20:20:32] 登录成功: 13900139000, 时间: .023254032s
[20:20:32] 查询成功: 13900139000, 时间: .030044575s
[20:20:33] 登录成功: 13700137000, 时间: .023956422s
[20:20:33] 查询成功: 13700137000, 时间: .029228137s
[20:20:33] 登录成功: 13800138000, 时间: .027033258s
[20:20:33] 查询成功: 13800138000, 时间: .026929968s
[20:20:33] 登录成功: 13900139000, 时间: .029490108s
[20:20:33] 查询成功: 13900139000, 时间: .027281098s
[20:20:33] 登录成功: 13700137000, 时间: .027265136s
[20:20:33] 查询成功: 13700137000, 时间: .037850900s
[20:20:33] 登录成功: 13800138000, 时间: .029344189s
[20:20:33] 查询成功: 13800138000, 时间: .030635055s
[20:20:33] 登录成功: 13900139000, 时间: .028468577s
[20:20:34] 查询成功: 13900139000, 时间: .029406541s
[20:20:34] 登录成功: 13700137000, 时间: .028293086s
[20:20:34] 查询成功: 13700137000, 时间: .025310032s
[20:20:34] 登录成功: 13800138000, 时间: .024168819s
[20:20:34] 查询成功: 13800138000, 时间: .026761595s
[20:20:34] 登录成功: 13900139000, 时间: .025969724s
[20:20:34] 查询成功: 13900139000, 时间: .031911001s
[20:20:35] 登录成功: 13700137000, 时间: .029470973s
[20:20:35] 查询成功: 13700137000, 时间: .028929890s
